category,task,condition,n,schema_valid,operation_sequence_exact_match,skill_name_accuracy,action_recall_rate,action_order_accuracy,step_level_f1,sequence_edit_distance,latency_s,object_argument_accuracy,target_argument_accuracy
Semantic,select_drink_semantic,P3,100,0.76,0.0,0.2708333333333333,0.38,0.0,0.0,2.67,3.262538115978241,0.0,
Semantic,select_fruit_semantic,P1,100,0.8,0.0,0.8,0.8,0.8,0.0,2.0,3.909848163127899,0.0,0.0
Semantic,select_fruit_semantic,P2,100,0.98,0.94,0.98,0.98,0.98,0.96,0.08,3.9122378921508787,0.9591836734693877,1.0
Semantic,select_fruit_semantic,P3,100,0.65,0.0,0.625,0.65,0.6,0.0,2.11,4.041130163669586,0.0,0.0
Semantic,select_poker_semantic,P1,100,0.61,0.0,0.305,0.305,0.0,0.0,2.0,4.2439793419837955,0.0,
Semantic,select_poker_semantic,P2,100,0.75,0.0,0.37,0.37,0.0,0.11,1.78,4.261765277385711,0.29333333333333333,
Semantic,select_poker_semantic,P3,100,0.67,0.0,0.32,0.32,0.0,0.0,2.0,4.378208377361298,0.0,
Semantic,select_toy_semantic,P1,100,0.31,0.0,0.31,0.31,0.31,0.0,2.0,4.552678775787354,0.0,0.0
Semantic,select_toy_semantic,P2,100,0.94,0.93,0.94,0.94,0.94,0.935,0.13,4.284435594081879,0.9893617021276596,1.0
Semantic,select_toy_semantic,P3,100,0.47,0.0,0.3025,0.39,0.29,0.0,2.19,4.405883054733277,0.0,0.0
Spatial,add_condiment_spatial,P1,100,1.0,0.0,0.5,0.5,0.0,0.0,2.0,3.2061560273170473,0.0,0.0
Spatial,add_condiment_spatial,P2,100,1.0,0.0,0.5,0.5,0.0,0.25,1.5,3.1469952988624574,0.5,0.25
Spatial,add_condiment_spatial,P3,100,1.0,0.0,0.38266666666666665,0.84,0.0,0.0,3.15,3.7391950511932373,0.0,0.0
Spatial,insert_bloom_flower,P1,100,1.0,0.0,0.5,0.5,0.0,0.0,2.0,3.695905909538269,0.0,0.0
Spatial,insert_bloom_flower,P2,100,1.0,0.0,0.5,0.5,0.0,0.225,1.55,3.759666407108307,0.45,1.0
Spatial,insert_bloom_flower,P3,100,1.0,0.0,0.8016666666666667,0.805,0.61,0.0,2.04,3.9582332944869996,0.0,0.0
Spatial,select_billiards_spatial,P1,100,1.0,0.0,1.0,1.0,1.0,0.0,2.0,2.4656192088127136,0.0,0.0
Spatial,select_billiards_spatial,P2,100,0.99,0.0,0.99,0.99,0.99,0.055,1.89,2.4123492646217346,0.10101010101010101,0.010101010101010102
Spatial,select_billiards_spatial,P3,100,1.0,0.0,1.0,1.0,1.0,0.0,2.0,2.496914701461792,0.0,0.0
Spatial,select_book_spatial,P1,100,1.0,0.0,0.5,0.5,0.0,0.0,2.0,3.201987464427948,0.0,
Spatial,select_book_spatial,P2,100,1.0,0.0,0.5,0.5,0.0,0.18,1.64,3.1340493416786193,0.36,
Spatial,select_book_spatial,P3,100,1.0,0.0,0.2,0.5,0.0,0.0,2.93,3.6431060528755186,0.0,
Spatial,select_chemistry_tube_spatial,P1,100,1.0,0.0,0.5,0.5,0.0,0.0,2.0,3.3157770299911498,0.0,
Spatial,select_chemistry_tube_spatial,P2,100,1.0,0.0,0.5,0.5,0.0,0.13,1.74,3.179456343650818,0.26,
Spatial,select_chemistry_tube_spatial,P3,100,1.0,0.0,0.5,0.5,0.0,0.0,2.0,3.377051570415497,0.0,
Spatial,select_fruit_spatial,P1,100,1.0,0.0,1.0,1.0,1.0,0.0,2.0,3.7896253061294556,0.0,0.0
Spatial,select_fruit_spatial,P2,100,1.0,0.01,1.0,1.0,1.0,0.36,1.28,3.7898445320129395,0.02,0.7
Spatial,select_fruit_spatial,P3,100,1.0,0.0,1.0,1.0,1.0,0.0,2.0,4.03186585187912,0.0,0.0
Spatial,select_poker_spatial,P1,100,1.0,0.0,0.5,0.5,0.0,0.0,2.0,4.11292795419693,0.0,
Spatial,select_poker_spatial,P2,100,0.98,0.0,0.49,0.49,0.0,0.0,2.0,4.018426501750946,0.0,
Spatial,select_poker_spatial,P3,100,1.0,0.0,0.5,0.5,0.0,0.0,2.0,4.129658660888672,0.0,
Spatial,select_toy_spatial,P1,100,1.0,0.0,1.0,1.0,1.0,0.0,2.0,3.8088500905036926,0.0,0.0
Spatial,select_toy_spatial,P2,100,1.0,0.12,1.0,1.0,1.0,0.475,1.05,3.717823579311371,0.12,0.83
Spatial,select_toy_spatial,P3,100,0.99,0.0,0.9133333333333333,0.99,0.89,0.0,2.11,4.07750236749649,0.0,0.0
